"Export time:  03/07/2024, 12:34:03","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CHX1XQQ8","Apple iPhone 15 Pro Max (256 GB) - White Titanium","Apple","1.99","","","7.96","09/15/2023","-46.05","4.4","305","48.04","74,773","5","FBA","1","Electronics","Small","7.67 x 15.99 x 0.82 cm","221 g","https://www.amazon.in/dp/B0CHX1XQQ8?th=1&psc=1"
"Average Monthly Sales: 80","","B0CHWWW471","Apple iPhone 15 Pro Max (256 GB) - White Titanium","Apple","1.48","36","1","53.28","09/15/2023","-46.55","4.4","306","48.03","11,649","5","FBA","1","Electronics","Small","7.67 x 15.99 x 0.82 cm","221 g","https://www.amazon.in/dp/B0CHWWW471?th=1&psc=1"
"Average Revenue: ₹85.60","","B0CHWV2WYK","Apple iPhone 15 Pro Max (256 GB) - Black Titanium","Apple","1.59","123","4","195.57","09/15/2023","-46.44","4.4","306","48.03","3,692","5","FBA","1","Electronics","Small","7.67 x 15.99 x 0.82 cm","221 g","https://www.amazon.in/dp/B0CHWV2WYK?th=1&psc=1"
"Average Price: ₹1.69","","","","","","","","","","","","","","","","","","","","","",""
"Average No. of Ratings: 306","","","","","","","","","","","","","","","","","","","","","",""
"Average Sales Rank: 30,038","","","","","","","","","","","","","","","","","","","","","",""
"Average Rating Number: 4.4","","","","","","","","","","","","","","","","","","","","","",""
